Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,42.259998,42.34,41.169998,41.32,639200,40.679935
2013-03-01,38.220001,42.689999,37.630001,42.389999,387500,41.73336
2013-02-01,36.549999,39.91,35.259998,38.57,394300,37.972534
2013-01-02,35.349998,37.169998,34.419998,36.330002,348700,35.767235
2012-12-03,33.07,34.950001,32.560001,34.610001,328700,34.073879
2012-11-01,32.139999,33.369999,31.34,32.849998,377500,32.046001
2012-10-01,28.77,32.50,27.91,32.16,382600,31.37289
2012-09-04,27.58,30.52,27.24,28.540001,289900,27.792833
2012-08-01,26.459999,29.040001,25.33,27.629999,249600,26.906654
2012-07-02,27.799999,29.040001,25.32,26.33,279800,25.64069
2012-06-01,26.60,28.34,25.68,27.82,417900,27.043682
2012-05-01,29.43,30.23,26.82,27.35,440800,26.586798
2012-04-02,27.60,30.52,26.00,29.32,385300,28.501823
2012-03-01,27.969999,28.82,26.76,27.719999,365300,26.896515
2012-02-01,29.01,30.91,27.110001,27.799999,535800,26.974138
2012-01-03,27.43,28.98,26.32,28.83,411700,27.973539
2011-12-01,25.59,27.120001,24.370001,26.809999,432900,25.966911
2011-11-01,24.059999,25.690001,23.17,25.629999,457700,24.824018
2011-10-03,20.129999,25.879999,18.91,25.07,589100,24.28163
2011-09-01,22.860001,22.969999,18.25,20.33,692900,19.643961
2011-08-01,28.209999,28.41,20.50,22.91,707200,22.136898
2011-07-01,29.34,30.860001,27.18,27.92,334900,26.977835
2011-06-01,30.33,30.549999,28.030001,29.309999,461000,28.320929
2011-05-02,31.129999,31.92,29.41,30.370001,496600,29.34516
2011-04-01,31.190001,31.73,28.969999,31.00,396000,29.953899
2011-03-01,32.060001,32.75,30.27,30.969999,493600,29.924911
2011-02-01,30.440001,32.57,28.23,31.860001,521300,30.78488
2011-01-03,29.25,30.360001,28.35,30.280001,453200,29.258198
2010-12-01,27.00,29.92,26.93,28.98,413200,28.002064
2010-11-01,25.92,27.360001,24.780001,26.799999,487000,25.895628
2010-10-01,24.77,27.27,24.15,25.85,489200,24.977688
2010-09-01,23.16,25.299999,23.110001,24.59,479800,23.760206
2010-08-02,26.469999,26.51,22.290001,22.74,560000,21.972635
2010-07-01,23.07,27.690001,22.440001,26.01,725400,25.132288
2010-06-01,24.52,25.530001,22.93,23.17,712200,22.388124
2010-05-03,28.68,28.77,23.870001,24.969999,1081300,24.127382
2010-04-01,24.860001,29.799999,24.629999,28.559999,843500,27.596237
2010-03-01,22.940001,26.76,22.940001,24.629999,808000,23.798855
2010-02-01,24.209999,24.559999,22.059999,23.02,834300,22.243187
2010-01-04,27.389999,27.950001,23.66,24.059999,623200,23.248091
2009-12-01,24.139999,27.85,23.639999,26.90,481800,25.992254
2009-11-02,23.75,26.360001,23.139999,23.799999,481600,22.996864
2009-10-01,25.129999,25.639999,22.17,23.620001,492100,22.822941
2009-09-01,23.059999,26.379999,22.059999,25.32,386100,24.465572
2009-08-03,24.66,25.809999,22.969999,23.17,467000,22.388124
2009-07-01,20.51,24.93,17.879999,24.120001,618900,23.306067
2009-06-01,22.93,23.75,18.940001,20.120001,677600,19.441048
2009-05-01,20.809999,23.469999,19.99,22.469999,904800,21.711746
2009-04-01,16.809999,22.42,16.50,20.790001,1067700,20.088438
2009-03-02,15.02,18.68,13.44,17.17,1242000,16.590595
2009-02-02,20.27,23.01,14.88,15.41,1186000,14.889987
2009-01-02,23.02,23.639999,18.280001,20.59,1191800,19.895187
2008-12-01,15.58,23.02,13.49,22.43,1209800,21.673096
2008-11-03,17.74,18.35,11.17,15.77,1133600,15.237839
2008-10-01,26.08,26.469999,14.53,17.77,1771100,17.170349
2008-09-02,34.73,36.049999,24.219999,26.32,1356000,25.431828
2008-08-01,30.209999,34.810001,29.18,34.07,1072500,32.920303
2008-07-01,28.00,32.919998,24.84,30.120001,1168000,29.103596
2008-06-02,29.309999,29.889999,26.52,28.530001,929100,27.567251
2008-05-01,25.110001,29.809999,24.950001,29.35,684500,28.359579
2008-04-01,22.629999,26.99,22.450001,25.059999,947600,24.214346
2008-03-03,24.059999,24.65,21.07,22.209999,1239200,21.46052
2008-02-01,22.15,25.879999,20.049999,24.09,1202900,23.277079
2008-01-02,23.639999,23.950001,18.25,21.90,1575100,21.16098
2007-12-03,26.200001,28.25,23.549999,23.629999,836400,22.832602
2007-11-01,33.560001,33.799999,23.290001,26.639999,1123600,25.741028
2007-10-01,31.299999,35.209999,29.379999,34.43,991900,33.268154
