Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,26.65,26.700001,26.40,26.40,24200,20.403788
2013-03-01,25.82,27.450001,25.59,26.459999,34400,20.450161
2013-02-01,27.129999,27.209999,25.07,25.76,43400,19.797386
2013-01-02,24.459999,27.559999,24.35,27.120001,47100,20.721413
2012-12-03,26.809999,26.99,24.00,24.209999,40400,18.392202
2012-11-01,26.209999,26.68,24.43,26.68,38700,19.448122
2012-10-01,25.17,26.34,25.049999,26.309999,73600,19.067083
2012-09-04,24.90,26.68,24.780001,25.00,77900,18.01379
2012-08-01,23.299999,24.73,23.209999,24.73,55000,17.597261
2012-07-02,22.15,23.42,22.059999,23.280001,79300,16.462715
2012-06-01,22.030001,22.52,21.129999,22.15,51900,15.560976
2012-05-01,22.25,22.860001,21.50,22.030001,62200,15.372243
2012-04-02,21.780001,22.209999,21.389999,22.139999,46800,15.344941
2012-03-01,21.440001,21.799999,20.860001,21.709999,39900,14.94418
2012-02-01,21.01,21.93,20.530001,21.459999,28400,14.667276
2012-01-03,19.780001,21.15,19.48,21.049999,24200,14.287558
2011-12-01,19.26,19.99,18.68,19.610001,18900,13.210838
2011-11-01,19.76,20.58,19.129999,19.40,16400,12.837051
2011-10-03,19.84,20.459999,18.40,19.780001,18100,12.989991
2011-09-01,20.90,20.959999,19.440001,19.440001,14300,12.671003
2011-08-01,20.99,20.99,18.92,20.77,31200,13.439702
2011-07-01,21.280001,21.75,20.40,20.51,18000,13.178795
2011-06-01,21.950001,22.030001,20.60,21.24,28400,13.557176
2011-05-02,22.00,22.60,21.49,22.059999,27500,13.987978
2011-04-01,22.58,22.58,21.450001,21.969999,31300,13.843568
2011-03-01,22.10,23.01,21.99,22.450001,29900,14.054505
2011-02-01,21.91,23.120001,21.76,22.27,34000,13.854799
2011-01-03,21.639999,22.379999,21.18,22.049999,30000,13.63246
2010-12-01,21.719999,21.719999,20.74,21.60,25900,13.269459
2010-11-01,21.299999,21.940001,20.959999,21.379999,28500,13.047199
2010-10-01,21.290001,21.85,20.58,21.110001,34500,12.797759
2010-09-01,20.379999,21.360001,20.219999,21.23,38300,12.784867
2010-08-02,20.23,20.92,19.790001,20.370001,39800,12.183561
2010-07-01,20.00,20.379999,19.35,19.889999,22700,11.814824
2010-06-01,19.50,20.040001,19.299999,19.950001,21700,11.767303
2010-05-03,20.57,20.90,19.26,19.48,43500,11.408917
2010-04-01,20.02,20.969999,19.40,20.51,52200,11.929967
2010-03-01,20.040001,20.17,20.00,20.02,31800,11.644951
2010-02-24,20.049999,20.110001,20.00,20.049999,68800,11.6624
